,lat,lon,ano,mes
9357,-7.2399375206127985,323.5,2023,10
9358,-7.2399375206127985,323.5,2023,11
9359,-7.2399375206127985,323.5,2023,12
9360,-7.2399375206127985,324.0,1994,1
9361,-7.2399375206127985,324.0,1994,2
9362,-7.2399375206127985,324.0,1994,3
9363,-7.2399375206127985,324.0,1994,4
9364,-7.2399375206127985,324.0,1994,5
9365,-7.2399375206127985,324.0,1994,6
9366,-7.2399375206127985,324.0,1994,7
9367,-7.2399375206127985,324.0,1994,8
9368,-7.2399375206127985,324.0,1994,9
9369,-7.2399375206127985,324.0,1994,10
9370,-7.2399375206127985,324.0,1994,11
9371,-7.2399375206127985,324.0,1994,12
9372,-7.2399375206127985,324.0,1995,1
9373,-7.2399375206127985,324.0,1995,2
9374,-7.2399375206127985,324.0,1995,3
9375,-7.2399375206127985,324.0,1995,4
9376,-7.2399375206127985,324.0,1995,5
9377,-7.2399375206127985,324.0,1995,6
9378,-7.2399375206127985,324.0,1995,7
9379,-7.2399375206127985,324.0,1995,8
9380,-7.2399375206127985,324.0,1995,9
9381,-7.2399375206127985,324.0,1995,10
9382,-7.2399375206127985,324.0,1995,11
9383,-7.2399375206127985,324.0,1995,12
9384,-7.2399375206127985,324.0,1996,1
9385,-7.2399375206127985,324.0,1996,2
9386,-7.2399375206127985,324.0,1996,3
9387,-7.2399375206127985,324.0,1996,4
9388,-7.2399375206127985,324.0,1996,5
9389,-7.2399375206127985,324.0,1996,6
9390,-7.2399375206127985,324.0,1996,7
9391,-7.2399375206127985,324.0,1996,8
9392,-7.2399375206127985,324.0,1996,9
9393,-7.2399375206127985,324.0,1996,10
9394,-7.2399375206127985,324.0,1996,11
9395,-7.2399375206127985,324.0,1996,12
9396,-7.2399375206127985,324.0,1997,1
9397,-7.2399375206127985,324.0,1997,2
9398,-7.2399375206127985,324.0,1997,3
9399,-7.2399375206127985,324.0,1997,4
9400,-7.2399375206127985,324.0,1997,5
9401,-7.2399375206127985,324.0,1997,6
9402,-7.2399375206127985,324.0,1997,7
9403,-7.2399375206127985,324.0,1997,8
9404,-7.2399375206127985,324.0,1997,9
9405,-7.2399375206127985,324.0,1997,10
9406,-7.2399375206127985,324.0,1997,11
9407,-7.2399375206127985,324.0,1997,12
9408,-7.2399375206127985,324.0,1998,1
9409,-7.2399375206127985,324.0,1998,2
9410,-7.2399375206127985,324.0,1998,3
9411,-7.2399375206127985,324.0,1998,4
9412,-7.2399375206127985,324.0,1998,5
9413,-7.2399375206127985,324.0,1998,6
9414,-7.2399375206127985,324.0,1998,7
9415,-7.2399375206127985,324.0,1998,8
9416,-7.2399375206127985,324.0,1998,9
9417,-7.2399375206127985,324.0,1998,10
9418,-7.2399375206127985,324.0,1998,11
9419,-7.2399375206127985,324.0,1998,12
9420,-7.2399375206127985,324.0,1999,1
9421,-7.2399375206127985,324.0,1999,2
9422,-7.2399375206127985,324.0,1999,3
9423,-7.2399375206127985,324.0,1999,4
9424,-7.2399375206127985,324.0,1999,5
9425,-7.2399375206127985,324.0,1999,6
9426,-7.2399375206127985,324.0,1999,7
9427,-7.2399375206127985,324.0,1999,8
9428,-7.2399375206127985,324.0,1999,9
9429,-7.2399375206127985,324.0,1999,10
9430,-7.2399375206127985,324.0,1999,11
9431,-7.2399375206127985,324.0,1999,12
9432,-7.2399375206127985,324.0,2000,1
9433,-7.2399375206127985,324.0,2000,2
9434,-7.2399375206127985,324.0,2000,3
9435,-7.2399375206127985,324.0,2000,4
9436,-7.2399375206127985,324.0,2000,5
9437,-7.2399375206127985,324.0,2000,6
9438,-7.2399375206127985,324.0,2000,7
9439,-7.2399375206127985,324.0,2000,8
9440,-7.2399375206127985,324.0,2000,9
9441,-7.2399375206127985,324.0,2000,10
9442,-7.2399375206127985,324.0,2000,11
9443,-7.2399375206127985,324.0,2000,12
9444,-7.2399375206127985,324.0,2001,1
9445,-7.2399375206127985,324.0,2001,2
9446,-7.2399375206127985,324.0,2001,3
9447,-7.2399375206127985,324.0,2001,4
9448,-7.2399375206127985,324.0,2001,5
9449,-7.2399375206127985,324.0,2001,6
9450,-7.2399375206127985,324.0,2001,7
9451,-7.2399375206127985,324.0,2001,8
9452,-7.2399375206127985,324.0,2001,9
9453,-7.2399375206127985,324.0,2001,10
9454,-7.2399375206127985,324.0,2001,11
9455,-7.2399375206127985,324.0,2001,12
9456,-7.2399375206127985,324.0,2002,1
9457,-7.2399375206127985,324.0,2002,2
9458,-7.2399375206127985,324.0,2002,3
9459,-7.2399375206127985,324.0,2002,4
9460,-7.2399375206127985,324.0,2002,5
9461,-7.2399375206127985,324.0,2002,6
9462,-7.2399375206127985,324.0,2002,7
9463,-7.2399375206127985,324.0,2002,8
9464,-7.2399375206127985,324.0,2002,9
9465,-7.2399375206127985,324.0,2002,10
9466,-7.2399375206127985,324.0,2002,11
9467,-7.2399375206127985,324.0,2002,12
9468,-7.2399375206127985,324.0,2003,1
9469,-7.2399375206127985,324.0,2003,2
9470,-7.2399375206127985,324.0,2003,3
9471,-7.2399375206127985,324.0,2003,4
9472,-7.2399375206127985,324.0,2003,5
9473,-7.2399375206127985,324.0,2003,6
9474,-7.2399375206127985,324.0,2003,7
9475,-7.2399375206127985,324.0,2003,8
9476,-7.2399375206127985,324.0,2003,9
9477,-7.2399375206127985,324.0,2003,10
9478,-7.2399375206127985,324.0,2003,11
9479,-7.2399375206127985,324.0,2003,12
9480,-7.2399375206127985,324.0,2004,1
9481,-7.2399375206127985,324.0,2004,2
9482,-7.2399375206127985,324.0,2004,3
9483,-7.2399375206127985,324.0,2004,4
