,Unnamed: 0,lat,lon,alt,bac,ano,mes,pr_local,pnt,IDW
1769,,-8.238549579800534,-37.0,,,2021,6,,-8.238549579800534;-37.0,1.9196864524841495
1770,,-8.238549579800534,-37.0,,,2021,7,,-8.238549579800534;-37.0,13.083907394232583
1771,,-8.238549579800534,-37.0,,,2021,8,,-8.238549579800534;-37.0,3.528385204322491
1772,,-8.238549579800534,-37.0,,,2021,9,,-8.238549579800534;-37.0,0.0
1773,,-8.238549579800534,-37.0,,,2021,10,,-8.238549579800534;-37.0,3.814700122972257
1774,,-8.238549579800534,-37.0,,,2021,11,,-8.238549579800534;-37.0,0.830406793436466
1775,,-8.238549579800534,-37.0,,,2021,12,,-8.238549579800534;-37.0,24.128385921040348
1776,,-8.238549579800534,-37.0,,,2022,1,,-8.238549579800534;-37.0,156.98657545890174
1777,,-8.238549579800534,-37.0,,,2022,2,,-8.238549579800534;-37.0,52.98277453297742
1778,,-8.238549579800534,-37.0,,,2022,3,,-8.238549579800534;-37.0,64.5671303833816
1779,,-8.238549579800534,-37.0,,,2022,4,,-8.238549579800534;-37.0,73.7414310391509
1780,,-8.238549579800534,-37.0,,,2022,5,,-8.238549579800534;-37.0,19.873966009173227
1781,,-8.238549579800534,-37.0,,,2022,6,,-8.238549579800534;-37.0,67.65547324629377
1782,,-8.238549579800534,-37.0,,,2022,7,,-8.238549579800534;-37.0,23.646023579408137
1783,,-8.238549579800534,-37.0,,,2022,8,,-8.238549579800534;-37.0,23.338050015600608
1784,,-8.238549579800534,-37.0,,,2022,9,,-8.238549579800534;-37.0,1.4562573139682031
1785,,-8.238549579800534,-37.0,,,2022,10,,-8.238549579800534;-37.0,27.16309583106075
1786,,-8.238549579800534,-37.0,,,2022,11,,-8.238549579800534;-37.0,156.59680962953786
1787,,-8.238549579800534,-37.0,,,2022,12,,-8.238549579800534;-37.0,14.495631378362617
1788,,-8.238549579800534,-37.0,,,2023,1,,-8.238549579800534;-37.0,11.750917050461018
1789,,-8.238549579800534,-37.0,,,2023,2,,-8.238549579800534;-37.0,41.08144054109624
1790,,-8.238549579800534,-37.0,,,2023,3,,-8.238549579800534;-37.0,58.77203728722631
1791,,-8.238549579800534,-37.0,,,2023,4,,-8.238549579800534;-37.0,133.54402075479337
1792,,-8.238549579800534,-37.0,,,2023,5,,-8.238549579800534;-37.0,26.227608761677644
1793,,-8.238549579800534,-37.0,,,2023,6,,-8.238549579800534;-37.0,25.14120450541948
1794,,-8.238549579800534,-37.0,,,2023,7,,-8.238549579800534;-37.0,25.21635144213224
1795,,-8.238549579800534,-37.0,,,2023,8,,-8.238549579800534;-37.0,19.786770090187105
1796,,-8.238549579800534,-37.0,,,2023,9,,-8.238549579800534;-37.0,1.1711767353789801
1797,,-8.238549579800534,-37.0,,,2023,10,,-8.238549579800534;-37.0,0.0
1798,,-8.238549579800534,-37.0,,,2023,11,,-8.238549579800534;-37.0,109.3372676099239
1799,,-8.238549579800534,-37.0,,,2023,12,,-8.238549579800534;-37.0,14.855142777753194
1800,,-8.238549579800534,-36.5,,,1994,1,,-8.238549579800534;-36.5,41.3796343907456
1801,,-8.238549579800534,-36.5,,,1994,2,,-8.238549579800534;-36.5,80.91621386319476
1802,,-8.238549579800534,-36.5,,,1994,3,,-8.238549579800534;-36.5,114.40533024815294
1803,,-8.238549579800534,-36.5,,,1994,4,,-8.238549579800534;-36.5,34.135456348832065
1804,,-8.238549579800534,-36.5,,,1994,5,,-8.238549579800534;-36.5,82.93052444675664
1805,,-8.238549579800534,-36.5,,,1994,6,,-8.238549579800534;-36.5,49.17020678948671
