,lat,lon,ano,mes,pnt
407,-8.238549579800534,321.5,1997,12,-8.238549579800534;321.5
408,-8.238549579800534,321.5,1998,1,-8.238549579800534;321.5
409,-8.238549579800534,321.5,1998,2,-8.238549579800534;321.5
410,-8.238549579800534,321.5,1998,3,-8.238549579800534;321.5
411,-8.238549579800534,321.5,1998,4,-8.238549579800534;321.5
412,-8.238549579800534,321.5,1998,5,-8.238549579800534;321.5
413,-8.238549579800534,321.5,1998,6,-8.238549579800534;321.5
414,-8.238549579800534,321.5,1998,7,-8.238549579800534;321.5
415,-8.238549579800534,321.5,1998,8,-8.238549579800534;321.5
416,-8.238549579800534,321.5,1998,9,-8.238549579800534;321.5
417,-8.238549579800534,321.5,1998,10,-8.238549579800534;321.5
418,-8.238549579800534,321.5,1998,11,-8.238549579800534;321.5
419,-8.238549579800534,321.5,1998,12,-8.238549579800534;321.5
420,-8.238549579800534,321.5,1999,1,-8.238549579800534;321.5
421,-8.238549579800534,321.5,1999,2,-8.238549579800534;321.5
