,lat,lon,ano,mes,pr
1483,-8.238549579800534,321.5,2010,8,4.97984776884429e-05
1484,-8.238549579800534,321.5,2010,9,3.85893917274158e-06
1485,-8.238549579800534,321.5,2010,10,2.311266635287e-05
1486,-8.238549579800534,321.5,2010,11,0.0003278843964955571
1487,-8.238549579800534,321.5,2010,12,0.00049248752246173
1488,-8.238549579800534,321.5,2011,1,0.0036622911402
1489,-8.238549579800534,321.5,2011,2,0.0024866077836
1490,-8.238549579800534,321.5,2011,3,0.001740416726526
1491,-8.238549579800534,321.5,2011,4,0.0022205050886
1492,-8.238549579800534,321.5,2011,5,0.000717882330917
1493,-8.238549579800534,321.5,2011,6,0.00025827760835
1494,-8.238549579800534,321.5,2011,7,7.60719330063e-05
1495,-8.238549579800534,321.5,2011,8,7.0650443495839e-05
1496,-8.238549579800534,321.5,2011,9,1.1601758920128709e-05
1497,-8.238549579800534,321.5,2011,10,1.066195566894437e-05
1498,-8.238549579800534,321.5,2011,11,0.0009639007655049004
1499,-8.238549579800534,321.5,2011,12,0.001543932909683
1500,-8.238549579800534,321.5,2012,1,0.00150527100621
1501,-8.238549579800534,321.5,2012,2,0.00329969200186
1502,-8.238549579800534,321.5,2012,3,0.0052599326263
1503,-8.238549579800534,321.5,2012,4,0.0031737476728
1504,-8.238549579800534,321.5,2012,5,0.0006009905296
1505,-8.238549579800534,321.5,2012,6,0.0004237011226772
1506,-8.238549579800534,321.5,2012,7,7.099475804915e-05
1507,-8.238549579800534,321.5,2012,8,5.776115990137e-05
1508,-8.238549579800534,321.5,2012,9,1.544930728515e-05
1509,-8.238549579800534,321.5,2012,10,2.1143112650292798e-05
1510,-8.238549579800534,321.5,2012,11,3.9046673135783e-05
1511,-8.238549579800534,321.5,2012,12,0.0018764237703828
1512,-8.238549579800534,321.5,2013,1,0.0020925967475
1513,-8.238549579800534,321.5,2013,2,0.0039144876767
1514,-8.238549579800534,321.5,2013,3,0.005197086007
1515,-8.238549579800534,321.5,2013,4,0.0022604416619000003
1516,-8.238549579800534,321.5,2013,5,0.00030436160455
1517,-8.238549579800534,321.5,2013,6,0.00016361302067242
1518,-8.238549579800534,321.5,2013,7,6.686713678e-05
1519,-8.238549579800534,321.5,2013,8,2.8368313267140002e-05
1520,-8.238549579800534,321.5,2013,9,4.45339492771892e-05
1521,-8.238549579800534,321.5,2013,10,2.25956151651619e-05
1522,-8.238549579800534,321.5,2013,11,0.000349719755433
1523,-8.238549579800534,321.5,2013,12,0.000417035267951459
1524,-8.238549579800534,321.5,2014,1,0.0004459095119201
1525,-8.238549579800534,321.5,2014,2,0.00152925402065
1526,-8.238549579800534,321.5,2014,3,0.0044609800077
1527,-8.238549579800534,321.5,2014,4,0.003463088077477
1528,-8.238549579800534,321.5,2014,5,0.0011296616902
1529,-8.238549579800534,321.5,2014,6,8.133596709e-05
1530,-8.238549579800534,321.5,2014,7,8.2277248159374e-05
1531,-8.238549579800534,321.5,2014,8,2.13987281495497e-05
1532,-8.238549579800534,321.5,2014,9,0.00014053723214912998
1533,-8.238549579800534,321.5,2014,10,2.13226448982765e-05
1534,-8.238549579800534,321.5,2014,11,0.0004617562791723514
1535,-8.238549579800534,321.5,2014,12,0.00045273785572420004
1536,-8.238549579800534,321.5,2015,1,0.0007812050721572
1537,-8.238549579800534,321.5,2015,2,0.0042389250125
1538,-8.238549579800534,321.5,2015,3,0.0039484971183
1539,-8.238549579800534,321.5,2015,4,0.0016620744135123
1540,-8.238549579800534,321.5,2015,5,0.00019517250679000002
1541,-8.238549579800534,321.5,2015,6,0.000126136516162
1542,-8.238549579800534,321.5,2015,7,7.8316107443197e-05
1543,-8.238549579800534,321.5,2015,8,7.2996018540849e-05
1544,-8.238549579800534,321.5,2015,9,8.23156593675042e-06
1545,-8.238549579800534,321.5,2015,10,3.973670217177974e-05
1546,-8.238549579800534,321.5,2015,11,0.00083598316602179
1547,-8.238549579800534,321.5,2015,12,0.0002652443722599
1548,-8.238549579800534,321.5,2016,1,0.00088779154821193
1549,-8.238549579800534,321.5,2016,2,0.003574824694259
1550,-8.238549579800534,321.5,2016,3,0.00318617943533244
1551,-8.238549579800534,321.5,2016,4,0.0046326000847
1552,-8.238549579800534,321.5,2016,5,0.0004307594363694536
1553,-8.238549579800534,321.5,2016,6,0.00062253690084
1554,-8.238549579800534,321.5,2016,7,0.00015855217281257
1555,-8.238549579800534,321.5,2016,8,6.934969116016789e-05
1556,-8.238549579800534,321.5,2016,9,8.85712520454472e-06
1557,-8.238549579800534,321.5,2016,10,1.42974094045019e-05
1558,-8.238549579800534,321.5,2016,11,0.0002585178438836535
